"artists"                                                                          ,"explicit","genre"                               ,"lyric"                                                                                                                                     ,"musixmatch_rating","rank","title"
"BOBBY PULIDO"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"He tratado tantas veces
De decirte que te quiero
De expresar mis sentimientos
Mostrarte un mundo nuevo
De olvidarme un momento
De que existe un gran dolor que llevo en mi corazon

He tratado otras veces
De pretender que no te quiero
De controlar mis pensamientos
Tratar de abrir camino nuevo
De olvidarme un momento
De que existe un gran dolor que llevo dentro de tu adios
...


 "                                                                                    ,19.0               ,1887  ,"LE PEDIRE"
"BANDA MACHOS"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Hola, ¿qué tal, chiquita bonita?
Te quiero hablar de lo que siento yo
En mi corazón nace una ilusión
Tú eres la razón

Chiquita bonita qué puedo hacer yo
Para que me quieras con todo tu amor
Chiquita bonita quisiera saber
Saber la manera en que me puedas querer
...


 "                                                                                                     ,19.0               ,1888  ,"CHIQUITA BONITA"
"PEPE GOMEZ JR Y SU GPO. UNION 82  FT  LA FREGONA"                                 ,""        ,""                                    ,""                                                                                                                                          ,1.0                ,1889  ,"LA NALGONCITA"
"GRUPO BRYNDIS"                                                                    ,0.0       ,"Latin / Pop in Spanish"              ,"Si alguna vez
Quieres volver
Ahí estaré
En ese lugar
Donde te hice mujer

Te esperaré
Todo el tiempo que sea necesario
Y viviré
Con la ilusión de que vuelvas a mi lado

Te esperaré
Porque sé que tú me quieres
...


 "                                                                                                     ,21.0               ,1890  ,"TE ESPERARE"
"INTOCABLE"                                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"Quisiera estar contigo y decirte cuanto te quiero
Quisiera verte aunque fuera unos momentos
Y decirte que eres parte importante de mi vida
Que eres tú mi consentida

Quiero que sepas vives en mis pensamientos
Que no hago más que estar pensando todo el tiempo
Que llegue el día en que vuelva a encontrarte
Y decirte que me encanta tu mirada

Y esa forma de hablarme
Que de tí me enamore
Y que muero por besarte
Y decirte que me gustas, que te amo
...


 "                                                                                          ,22.0               ,1891  ,"TE AMO PARA SIEMPRE"
"LA ARROLLADORA BANDA EL LIMÓN"                                                    ,1.0       ,"Latin / Regional Mexicano"           ,"Compárame, compárame en el corazón y piensa, pero sin conveniencia amor
Compárame, en momentos de soledad, pregúntate quién te ha querido más

Compárame, en tus noches de pasión, él te hace el sexo y yo te hacía el amor
Compárame, y no vayas a llorar, tan sólo ve que no me has dejado de amar

...


 "                                                                ,24.0               ,1892  ,"COMPARAME"
"PESADO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Buscando la manera
De no devolverte menos
De lo que tú a mí me das
Buscaba algún detalle
Que pudiera impresionarte
Y podértelo comprar

Pero al no encontrar nada
Que a tu amor se le acercara
Y mucho menos comparar
Vine a tu lado a preguntarte
Que te hace falta para darte
Lo que escuche me hizo llorar

Tú me dijiste: ""Abrázame""
No me hace falta nada, abrázame
Por que contigo tengo todo
Te lo juro y sobre todo
Cuando me dices te amo

Tú me dijiste: ""Abrázame""
Que es mi mejor regalo, abrázame
...


 "                                                                                                            ,21.0               ,1893  ,"ABRAZAME"
"PEPE AGUILAR"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Por una mujer bonita
Me estoy muriendo de celos
Por una mujer bonita traigo una penita en mi corazón

Yo sé que mucho me quiere
Yo sé que mucho la quiero
Pero eso a mi no me quita
Que ande una penita en mi corazón

Y tengo celos de todos los que a ti te miran pasar caminando
Si se te quedan mirando
...


 "                                                                                ,23.0               ,1894  ,"POR UNA MUJER BONITA"
"GRUPO KUAL"                                                                       ,""        ,""                                    ,""                                                                                                                                          ,20.0               ,1895  ,"LA CUMBIA DEL WIRITO"
"JENNI RIVERA"                                                                     ,0.0       ,"Latin / Regional Mexicano"           ,"Acaba de una vez
De un solo golpe
Porque quieres matarme
Poco a poco

Si va a llegar el dia
En que me abandones
Prefiero corazon
Que sea esta noche

Diciembre me gusto
Pa' que te vayas
Que sea tu cruel adios
Mi Navidad

No quiero comenzar
El año nuevo
Con este mismo amor
Que me hace tanto mal

...


 "                                                                                                                      ,22.0               ,1896  ,"AMARGA NAVIDAD"
"LOS INFINITOS"                                                                    ,0.0       ,"Music"                               ,"¿Como te lo platicare?
¿Como te lo explicaré?
Lo mucho que te quiero a ti
En cambio me dices tu a mi
Que tú para casarte
Conmigo no, no, no

Que soy muy pobre, no tengo nada
Con un rico tú quieres verte casada
Que soy borracho, huevón muy flojo
Que jamás te casarías con este loco
Mujer Interesada
...


 "                                                                                                         ,9.0                ,1897  ,"MUJER INTERESADA"
"AARON Y SU GRUPO ILUSION, MARIANA SEOANE"                                         ,0.0       ,""                                    ,"Aarón Y Su Grupo Ilusión
Y La Niña Buena

Quién te despertara
Con un beso por las mañanas
Dime quién te llevara
El desayuno a la cama

Quién te escribirá canciones
Inspiradas en nuestro amor
Quién regalándote flores
Te dice: ""la primavera llego""

Yo contigo hice un mundo
Donde reinabas tú
Y creo fuiste feliz
Pero eso que quede en ti

Y creo fuiste feliz
Pero eso que quede en ti

Y hoy te vas (te vas)
Te vas, te vas, te vas
...


 "                                                                                                             ,15.0               ,1898  ,"TE VAS"
"JUAN GABRIEL"                                                                     ,0.0       ,"Latin / Pop in Spanish"              ,"Cuando tú estas conmigo es cuando yo digo
Que valió la pena todo lo que yo he sufrido
No sé si es un sueño aún o es una realidad
Pero cuando estoy contigo es cuando digo
Que este amor que siento es porque tú lo has merecido
Con decirte amor que otra vez he amanecido
Llorando de felicidad
A tú lado yo siento que estoy viviendo
Nada es como ayer

Abrázame que el tiempo pasa y él nunca perdona
Ha hecho estragos en mi gente como en mi persona
Abrázame que el tiempo es malo y muy cruel amigo
Abrázame que el tiempo es oro si tú estás conmigo
...


 "                                                                                       ,24.0               ,1899  ,"ABRAZAME MUY FUERTE"
"EL BEBETO"                                                                        ,0.0       ,""                                    ,"Se le mira circulando
Siempre anda de arriba abajo
Unas veces porque es chamba
Otras veces descansando
Es tranquilo al viejo le gusta la playa
Un buen vinito y luego
Jala la banda
A él le gusta dar la vuelta con toditos sus amigos
Se oye música de antro
Por ahí se escucha un corrido
Unos tecatitos blancos
Pa la raza
El whiskito pa las morras
Que no fallan
Seguido se desestresa
Ya saben lo que les digo
...


 "                                                                                          ,16.0               ,1900  ,"ETIQUETA AZUL"
"LOS TIGRES DEL NORTE"                                                             ,1.0       ,"Latin / Regional Mexicano"           ,"No me digas que ahora te extraña
Porque yo he cambiado contigo
Si tú misma me abriste las alas
Fue tu modo razón y motivo
No te olvides que tú me empujabas
A volar donde no era mi nido

Muchas veces te veo sorprendida
Pues te beso y soy cariñoso
Solamente si estas con mis hijos
Porque a solas ya no te soporto
...


 "                                                                                                           ,24.0               ,1901  ,"EL EJEMPLO"
"PATRULLA 81"                                                                      ,0.0       ,"Latin / Regional Mexicano"           ,"Personas como tú quedan muy pocas ya
Lo supe desde el día en que yo te conocí
Yo que besé bastante otras bocas ya
Ninguna como tú me hizo feliz

Me gustas porque eres diferente amor
Hasta yo mismo he comprendido al verte que
Eres muy especial e inteligente
Me gustas porque me haces sentir bien

Tú eres divina (Divina)
Amor (Amor)
Divina
Estoy muy orgulloso de ser tuyo
Estando entre tus brazos yo me arullo

Eres divina (Divina)
...


 "                                                                                                  ,15.0               ,1902  ,"ERES DIVINA"
"LOS ANGELES AZULES"                                                               ,0.0       ,""                                    ,"Estamos en lugar prohibido, en busca de experimentar
Donde se hace el pecado del amor y el tiempo no se hace esperar

Te miro, y me miras amor
Te pregunto en qué piensas, y me dices en ti y en mi

Veo que te sueltas el pelo, mirándote al espejo, mirándote a los ojos
...


 "                                                                       ,25.0               ,1903  ,"ENTREGA DE AMOR FT SAUL HERNANDEZ"
"YANET GUADALUPE Y SU GRUPO"                                                       ,""        ,""                                    ,""                                                                                                                                          ,""                 ,1904  ,"EL ESTUPIDO"
"LOS TEMERARIOS"                                                                   ,0.0       ,"Latin / Pop in Spanish"              ,"Nunca creí encontrar el amor así
Enamorarme de ti
No pensaba
Pero de pronto mi cielo brillo
Y sentí lo que nunca
Mi corazón sintió

El oír tu voz, el mirar tu cara, el sentir tu piel
Y al amanecer
Recorrer tu cuerpo con ansia loca y hacerte mi mujer
Ha hecho que tú mi amor
...


 "                                                                                        ,23.0               ,1905  ,"LA MEJOR QUE SOÑE"
"INTOCABLE"                                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"Me gustas por coqueta y altanera
Me gusta tu mirada insinuante
Me gusta todo lo que llevas puesto
Y por tu bella forma de menearte

Me gusta ver cómo te vuela el pelo
Cuando vas caminando por la calle
Y tu aroma se queda por el viento
Dándome valor para acompañarte

Me gustas por coqueta y altanera
Me gustas por coqueta
Cuando guiñas los ojos
Haces que pierda la cabeza

Te gusta que te admire todita la gente
Te digan que eres linda y se te sube a la mente
Que tienes cara de ángel y figura divina
...


 "                                                                                             ,22.0               ,1906  ,"COQUETA"
"SONORA SANTANERA"                                                                 ,0.0       ,"Latin / Salsa y Tropical"            ,"Perfume de gardenias,
Tiene tu boca,
Bellìsimos destellos de luz en tu mirar

Tu risa es una rima
De alegres notas,
Se mueven tus cabellos
Cual ondas en la mar

Tu cuerpo es una copia de venus
De Cibeles que envidian las mujeres,
Cuando te ven pasar
...


 "                                                                                                     ,12.0               ,1907  ,"PERFUME DE GARDENIAS"
"ALFREDO OLIVAS"                                                                   ,0.0       ,"Latin / Regional Mexicano"           ,"Tus lagrimas parecen sinceras
El rimel corrido evidencia
El dulce sabor de la derrota
No se si estoy sonriendo de miedo
O es que sencillamente disfruto
Tu arrepentimiento a cuenta gotas

Tus Lagrimas parecen sinceras
Tanto que pienso muy seriamente
En ya levantarte el castigo
Yo no se aquí quien es el que pierde
Pero dime si acaso eso importa
Yo no puedo estar ya más sin verte

Sin tan solo hubieses escuchado
...


 "                                                                                                        ,21.0               ,1908  ,"TUS LAGRIMAS"
"LA MAFIA"                                                                         ,0.0       ,"Latin / Regional Mexicano"           ,"Sigo viviendo en el recuerdo de ayer y pienso
¿Cuando vas a regresar?
Yo aquí te espero y la esperanza aún no pierdo
No te he dejado de amar

Nunca olvides que te voy a esperar
Toda la vida te voy a amar

Dónde estés
Recuérdame
Nunca te olvides de mí, jamás
Guardaré y cuidaré
El recuerdo de aquel amor de ayer
...


 "                                                                                              ,21.0               ,1909  ,"UN ADIOS ES DE DOS"
"LA ORIGINAL 614"                                                                  ,""        ,"Music"                               ,""                                                                                                                                          ,1.0                ,1910  ,"UN TONTO"
"JOSE JOSE"                                                                        ,0.0       ,"Latin / Pop in Spanish"              ,"Mira si estoy loco por tu amor
Que en lugar de huir de ti
Te pido ayuda
Mira si me has hecho enloquecer
Que en lugar de aborrecerte
Te deseo

Vamos a decirnos la verdad
Tú te aprovechas de mí
Y yo te amo
Vamos a decirlo, de una vez
Cómo puedes tú ser libre
Mientras yo soy

Preso
De la cárcel de tus besos
De tu forma de hacer eso
A lo que llamas amor

Preso
Abrazando tu cadenas
Condenado a lo que quieras
Y hasta que quieras, amor
...


 "                                                                                                             ,25.0               ,1911  ,"PRESO"
"LA SONORA DINAMITA"                                                               ,0.0       ,"Latin"                               ,"La otra noche te esperé bajo la lluvia dos horas, mil horas, como un perro
Y cuando llegaste me miraste, me dijiste: ""Loco; estás mojado, ya no te quiero""

Hace frío, estoy lejos de casa
Hace tiempo que estoy sentado sobre esta piedra
Yo me pregunto para qué sirven las guerras
Tengo un boquete en el pantalón
Vos estás tan fría, como la nieve a mi alrededor
Vos estás tan blanca, que ya no sé qué hacer

...


 "                                                           ,20.0               ,1912  ,"MIL HORAS"
"OZUNA, DOJA CAT, SIA"                                                             ,1.0       ,""                                    ,"Ah-ah-ah-oh-oh-oh
Ah-ah-ah-oh-oh
Yeah-eh
Ah-ah-ah-ya-ya-yo
Ozuna
Ah-ah-ah

Se pierde en la arena y el mar, ah-ah-ah (ah-ah)
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está que quema y quiero má' (quiero má')
Le dije: ""Baby, ¿qué pasó?"" (Woh-oh-oh)
Pa'l agua que hace calor

Se pierde en la arena y el mar, yeah-ah-ah
¿'Taré soñando yo?
Se ve tan tropical (tan tropical)
El sol está qué quema, quiero más (quiero más)
Le dije: ""Baby, ¿qué pasó?""
Pa'l agua que hace calor, eh-eh-еh

Gimmе more, gimme more (gimme more)
Tell me you want this waistline
Dímelo, dímelo (dímelo)
Kiss my skin, I won't tell lies
Lucky son of a gun
I give you a no stress life
Vacation, live our best life
Whenever you want

...


 "                                                                                            ,81.0               ,1913  ,"DEL MAR"
"LOS CARDENALES DE NUEVO LEON"                                                     ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,13.0               ,1914  ,"SOY LO PEOR"
"LOS ALAMEÑOS DE LA SIERRA"                                                        ,0.0       ,"Latin"                               ,"Tan pronto yo te vi
No pude descubrir
El amor a primera vista no funciona en mí
Después de amarte, comprendí

Que no estaría tan mal
Probar tu otra mitad
No me importó si arruinaríamos nuestra amistad
No me importó, ya qué más da

Éramos tan buenos amigos hasta hoy
Que yo probé tu desempeño en el amor
Me aproveché de que habíamos tomando tanto
Te fuiste dejando y te agarré

A pesar de saber que estaba todo mal
Lo continuamos hasta juntos terminar
Cuando caímos en lo que estaba pasando
Te seguí besando y fue

Solo tú, no necesito más
...


 "                                                                                              ,20.0               ,1915  ,"PERFECTA"
"LOS TUCANES DE TIJUANA"                                                           ,0.0       ,"Latin"                               ,"Mi cartera es quien me patrocina
Donde llego responde por mí...

Las parrandas son mi adoración
Mi trabajo es mi forma de vida
Soy alegre y de buen corazón
Tengo amigos de abajo y de arriba
Pero mi más grande bendición
Siempre ha sido y será mi familia

No me gusta meterme en problemas
¿Para qué? si la vida es tan corta
Yo disfruto de las cosas buenas
Ser feliz es lo que más me importa
Cuando a veces me llegan las penas
Las ahogo con whisky en las rocas

...


 "                                                                                                          ,22.0               ,1916  ,"PARRANDEANDO"
"LISANDRO MEZA"                                                                    ,0.0       ,"Latin / Salsa y Tropical"            ,"No quiero que llegue navidad
...


 "                                                                                                               ,17.0               ,1917  ,"VUELVE"
"LOS TIGRES DEL NORTE"                                                             ,0.0       ,"Latin / Regional Mexicano"           ,"Él era un hombre de campo
Oriundo de Nuevo León
Tenía apenas 19 años
Su nombre: José Pérez León

Tenía un primo lejano
Que de mojado se fue
Al poco tiempo le envió un telegrama diciendo ven pronto José
Pues un trabajo le había ya encontrando piscando algodón como él

Y se fue, y se fue
Ahogando el llanto en el adiós con su mujer
Se fue, sin saber que de ese viaje ya jamás iba a volver
Pobre José
...


 "                                                                            ,24.0               ,1918  ,"JOSE PEREZ LEON"
"LOS HURACANES DEL NORTE"                                                          ,0.0       ,"Latin / Regional Mexicano"           ,"Cállense, cállense, no digan nada porque se me hace que es mi vieja
¿Bueno?
¿Pos dónde andas, qué crees?
Eres un inútil, ¿piensas que tus hijos no tienen hambre?
(Te estamos esperando para que nos des para cenar...)

¿Pa' qué te casabas Juan?
Si ya te habías divorciado
Cuando te ibas de parranda
Nadie te andaba buscando
Hoy con la leona que tienes
Te trae el paso marcando

Eras libre como el viento
Andabas con quien querías
En ratitos con Teresa
...


 "                                                                        ,20.0               ,1919  ,"PA QUE TE CASABAS JUAN"
"LUIS MADRID"                                                                      ,""        ,""                                    ,""                                                                                                                                          ,""                 ,1920  ,"MIENTRAS ME VOY"
"LOS PLEBES DEL RANCHO DE ARIEL CAMACHO"                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Y es tan fácil para ti decir adiós
Nunca mencionar un perdón
Lo siento, me equivoqué

De rutina, en un juego se convirtió
Y el orgullo es el ganador
Te pierdo amor
Voy otra vez

Se terminó, de la manera más sencilla se acabó
Pues di de besos y caricias un millón
Y te basto se terminó
...


 "                                                                                              ,21.0               ,1921  ,"NO LO HICE BIEN"
"RAMON AYALA Y SUS BRAVOS DEL NORTE"                                               ,0.0       ,"Latin / Regional Mexicano"           ,"Ya se fue
Lo que anhelaba yo en mi corazón
Mi golondrina se fue y me dejo
Sin rumbo fijo desapareció

Voló y voló
Sin esperanza de que volviera
Sin esperanza de volverla a ver
Porque se fue sin decirme adiós

Ay, golondrina
Dime que vuelves
Junto a mi lado
...


 "                                                                                                            ,25.0               ,1922  ,"MI GOLONDRINA"
"LIMITE"                                                                           ,0.0       ,""                                    ,"Limite
Sentimientos
Sentimientos
Cada vez mas serca de mi corazon
Te llevo yo, te llevo yo
Cuando con ternura me abrazas tu

Tienes ganada mi voluntad
Somos igual, tal para cual
...


 "                                                                                                            ,10.0               ,1923  ,"SENTIMIENTOS"
"BETO ZAPATA"                                                                      ,0.0       ,"Latin"                               ,"Con botellitas, les voy a preguntar,
Con botellitas, me van a contestar,
Con botellitas, yo voy a comenzar,
Con botellitas, me voy a emborrachar

Con botellitas, les voy a preguntar,
Con botellitas, me van a contestar,
Con botellitas, yo voy a comenzar,
Con botellitas, me voy a emborrachar

Botellita de jerez, todo lo que digan será al revés,
Botellita de cualquiera, pídele a Dios que yo te quiera,
Botellita de tepache, pídele a Dios que no me emborrache
...


 "                                                                                    ,7.0                ,1924  ,"BOTELLITAS"
"LA SEPTIMA BANDA"                                                                 ,0.0       ,"Latin / Regional Mexicano"           ,"No me quiero ver muy presumido
Pero me trae loco con su estilo
Me encontré la fórmula perfecta
Es bonita muy alegre no le falta inteligencia

La verdad que es muy alivianada
En los antros nunca está sentada
Y si quieren que se las describa
Tal vez no será una diva pero no le falta nada.

Se Defiende
Ella tiene todo bien acomodado
Por atrás y por enfrente

Lo mejor es que siempre me sigue el rollo
Y conmigo se amanece

No es sangrona
Mucho menos presumida
Nunca se hace del rogar.
...


 "                                                                                             ,20.0               ,1925  ,"SE DEFIENDE"
"VALENTIN ELIZALDE"                                                                ,0.0       ,"Latin / Regional Mexicano"           ,"Y esta va pa' toda la bola de envidiosos
Ahija', ¿de qué se murieron los quemados?

Siguen ladrando los perros
Señal que voy avanzando
Así lo dice el refrán
Para aquellos que andan hablando
De la gente que trabaja
Y que no anda vacilando

Al que no le vino el saco
Pídalo a su medida
Conmigo no andan jugando
¿Pa' que se arriesgan la vida?
Traigo una super fatada
...


 "                                                                                                   ,19.0               ,1926  ,"A MIS ENEMIGOS"
"PESADO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Humíllate
Pídeme perdón llorando de rodillas, háblame
Dime que sin mi tu vida no es la misma, implorame
Que vuelva a besar tus labios con ternura, ruégame
Que vuelva a llenar tu cuerpo de caricias, convénceme

Que no voy arrepentirme si te quedas, que esta vez
No vas a fallarme y que lo nuestro va a marchar también
Que de mis heridas no voy acordarme, pensaré
Que todo fue un sueño, una pesadilla, suplícame

Que tenga piedad de ti y que me conmueva el corazón
Pídeme que olvide todo y pídeme otra vez perdón
...


 "                                                                                     ,22.0               ,1927  ,"HUMILLATE"
"INTOCABLE"                                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"Se que ya es muy tarde para darme cuenta
Que sera grande el dolor y tengo que aguantarme
Que te tuve tan cercita y que no supe valorarte
Que tu amor se me escurre entre los dedos
Que es inevitable este adios, oh no

Se que aunque te insista no vas a quedarte
Que en tu pecho hay una herida dificil de sanar
Que estas cansada de promesas, de preguntas sin respuestas
Que hoy se acaba nuestro amor
Que es inevitable este adios, oh no

...


 "                                                                                  ,22.0               ,1928  ,"ESO DUELE"
"CONJUNTO PRIMAVERA"                                                               ,0.0       ,"Latin / Regional Mexicano"           ,"Ponme en tus brazos embriagarme de amor
Y llena mis sentidos de ti
Pon tu boca pequeña dentro la mía
Y dame un beso sin fin

Quítame el aliento de tanto amar y amar
Y no me dejes pensar
Echa fuera de mi pecho este amor que aun le tengo
Abrígame, consuélame, libérame de este sufrimiento

Y hazme olvidarla por favor hazme olvidarla
...


 "                                                                                          ,21.0               ,1929  ,"HAZME OLVIDARLA"
"BANDA LOS SEBASTIANES"                                                            ,0.0       ,"Latin / Regional Mexicano"           ,"Se que dije cosas que te hicieron daño
Me pase de torpe no cuide mis labios
Todas mis disculpas estarán de sobra
Porque tus hormonas ya están en mi contra
Y si no quieres verme lo puedo entender
Pero no te tardes tanto en sonreírme
Si no estamos bien todo hoy se pone triste
Y es no es muy bueno para nuestro amor

Porque me siento incompleto me faltan tus besos
Sí corren las horas y no escucho tu voz
No me gusta nada que me des la espalda
...


 "                                                                                             ,23.0               ,1930  ,"INCOMPLETO"
"LADRON"                                                                           ,0.0       ,""                                    ,"""Sergio""
""Hola, mi amor""
""Oye, te llamo para decirte que no voy a poder ir""
""A la cena de tu cumpleaños""
""¿Por qué sabes?
""Que acaba de llegar una amiga de Puebla""
""Y me invitó a salir con unas amigas""
""Pero, tú me dijiste que vendrías""
""Sí, pero no puedo quedar mal con ella""

Tú me quieres lastimar
Yo no sé lo que te pasa
Tú me llamas a mi casa
Y ni me dices ""¿cómo estás?""

Es un día especial
Que tenía preparado
Para estar solo a tu lado
...


 "                                                                                        ,23.0               ,1931  ,"TU ME QUIERES LASTIMAR"
"MARCO ANTONIO SOLIS, REMMY VALENZUELA"                                            ,0.0       ,"Latin / Regional Mexicano"           ,"Por pensar que tú volverás conmigo
Y saber que ahora ya tienes abrigo

Aquí
Se va muriendo mi alma
Se va nublando cada día más
El cielo de mi esperanza

Porque la vida no me dice nada
Porque tengo temor a las miradas

Así
Se va muriendo mi alma
Y va creciendo ese vacío en mí
Que no lleno con nada

Es tu amor
El que no me deja vivir
...


 "                                                                                                         ,23.0               ,1932  ,"SE VA MURIENDO MI ALMA"
"ALEJANDRO FERNANDEZ"                                                              ,0.0       ,"Latin / Baladas y Boleros"           ,"Me estoy enamorando
Me estoy ilusionando con tu amor
Y siento que la pena que me afligía el alma
Ya no duele más

Hoy mis ilusiones
Vuelven a vivir y siento que mi boca
Se muerde al sentir que un beso
Mi deseo desborda, dentro del corazón

Siento que me estoy
Enamorando y guardo aquí en mi corazón
Cada momento que he vivido junto a ti
Y solo quiero entre tus brazos, ver cada amanecer

...


 "                                                                                           ,24.0               ,1933  ,"ME ESTOY ENAMORANDO"
"EL COYOTE Y SU BANDA"                                                             ,0.0       ,"Latin / Regional Mexicano"           ,"Mejor mañana hablamos
Ya que estés mas tranquila
La lista de reclamos que tienes para mi
Se que pinta ofensiva

Mañana nos peleamos
Con calma y con paciencia
Tu sal con tus amigas
Y yo con la mujer
Con esa que me inventas

Mañana me reclamas
Las cosas que no he hecho
...


 "                                                                                                     ,18.0               ,1934  ,"CITA CON UN INVENTO"
"BRIAN SANDOVAL"                                                                   ,0.0       ,""                                    ,"Hallé una flor un día en el camino
Que apareció marchita y deshojada
Ya casi pálida, ahogada en un suspiro
Me la llevé a mi jardín para cuidarla

De aquella flor de pétalos dormidos
A la que cuido hoy con toda el alma
Recuperó el color que había perdido
Porque encontró un cuidador que la regara

Le fui poniendo un poquito de amor
La fui abrigando en mi alma
...


 "                                                                                                   ,11.0               ,1935  ,"FLOR PALIDA"
"SOLIDO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Dime lo que quieras, pues, de cualquier manera
No daré un paso atrás, no voy a descansar
Y no es suficiente herir, constantemente
A este corazón que solo quiere amarte

Solo quiere que lo quieras
Si es pecado, voy a ser un pecador
Pero, en las alas de tu amor
Quiero volar

Hasta la cima del cielo (Por tu amor)
...


 "                                                                                             ,15.0               ,1936  ,"HASTA LA CIMA DEL CIELO"
"EL KOMANDER"                                                                      ,1.0       ,"Latin"                               ,"Tómele tómele pariente
Sin miedo viejo, eah
Hasta que amanezca compa
Alfredo Rios El Komander
Sin miedo sin miedo
Pura agua de canal compa

Pa este pinchi calorón
Destapare un tecaton
Tengo días que no le pego
Creo que ya me lo merezco
Y es que soy bien chambiador
Y aunque no se le parezca
El cuerpo ocupa un traguito
De cerveza o de whiskyto
Mucha raza no lo entiende
Pero entiende mi compadre
...


 "                                                                                                                ,24.0               ,1937  ,"HOY TOCA"
"BANDA RANCHO VIEJO"                                                               ,""        ,"Latin / Regional Mexicano"           ,""                                                                                                                                          ,1.0                ,1938  ,"LA CAMISA MANCHADA"
"LA LEYENDA, LOS CLAXONS"                                                          ,0.0       ,""                                    ,"Discúlpame, nunca fue mi intención equivocarme

Pero es mejor decírtelo
También puedo lastimarme

Te que juro que sentí que esto era lo que yo buscaba

Sentí que necesitaba, cada día más de ti

Pero algo pasó, y me duele tener que contarte
No quiero continuar con algo que me hace dudar

Creo que no
No voy a seguir tu camino si no
No vemos la vida del mismo color

Aquí no hay culpables
Ni falta de amor, pero es tan sencillo darse cuenta que no

...


 "                                                                                  ,23.0               ,1939  ,"CREO QUE NO"
"PESADO"                                                                           ,0.0       ,"Latin / Regional Mexicano"           ,"Te amo
Si estás conmigo, no me importa nada
Solo estar contigo
Una mirada de tus lindos ojos
Me acaricia el alma, me deja rendido a tus pies

Te amo
Eres lo único que necesito para estar tranquilo
Cuando me abrazas, me estremezco todo
Y me siento vivo cuando estás conmigo

Ayer, mientras dormías, me acerqué en silencio
Y de rodillas di gracias al cielo
Por darme un ángel como tú
...


 "                                                                                             ,21.0               ,1940  ,"MIENTRAS DORMIAS"
"JUAN GABRIEL"                                                                     ,0.0       ,"Latin / Pop in Spanish"              ,"No discutamos
Porque después de la primera discusión
Hay muchas más
Hoy terminamos

No discutamos
Tienes razón, tuve la culpa fue mi error
Por no decirte francamente que
Ya no te amo

Ya te pedí perdón
Y no me quieres perdonar
...


 "                                                                                                    ,24.0               ,1941  ,"NO DISCUTAMOS"
"LA SONORA DINAMITA"                                                               ,1.0       ,""                                    ,"Oye, mister, mister, mister, mister
Oye (¿Qué?), y ya llegamos nuevamente
Es el Panteón Rococó, es Dr. Shenka
Y cómo explota La Dinamita

Say wow
Say wow
Say wow
Say wow (Dale, morena, que suena y dice)

¿Qué vas a hacer con este negro, muchacha?
Que se inclina a dominarte los ojos
¿Qué vas a hacer con este negro, muchacha?
Que se inclina a dominarte los ojos

Es la hechicería
Que me ha concentrado en ti
Es la hechicería
Que me ha concentrado en ti, en ti, en ti

Ya bebiste de la toma, muchacha
Tiene achote con hojita de querer
Ya bebiste de la toma, muchacha
Tiene achote con hojita de querer

Entre las mujeres, mi vida
¡Ay, tú serás para mí!
Entre las mujeres, mi vida
...


 "                                                                                                  ,20.0               ,1942  ,"HECHICERIA"
"LA IMPONENTE VIENTOS DE JALISCO"                                                  ,0.0       ,"Latin / Regional Mexicano"           ,"Apoco no recuerdas
Cuando te acariciaba
Cuando te daba besos y en unos segundos
Estabas en la cama
Como te derretías
Cuando al tocar tu espalda
Te recorría despacio
Ya no digas nada que no hace falta

Apoco no recuerdas
Como te enamoraba
...


 "                                                                                                     ,16.0               ,1943  ,"APOCO NO RECUERDAS"
"LOS ELEMENTOS DE CULIACAN"                                                        ,0.0       ,"Latin / Regional Mexicano"           ,"Contigo contigo yo quiero pasar mi vida contigo contigo no me pesa
Compartirla y despertar cada mañana junto a ti todo mi amor yo te
Quiero hacer sentir y repetimos solo se hacerte feliz contigo no hay
Distancias que no pueda caminar contigo soy un celoso sin poderse
...


 "                                                                        ,16.0               ,1944  ,"CONTIGO"
"PEDRO FERNANDEZ"                                                                  ,0.0       ,"Latin / Regional Mexicano"           ,"Tú tienes una cosa que sabes qué
Tú tienes una cosa que sabes qué
Ay me encantas, me encantas

Tú tienes una cosa que sabes que
Tú tienes una cosa que sabes que
Ay me encantas, me encantas

Me gusta como bailas como te mueves
Me gusta como besas cuando te atreves

Tú tienes eso que me encanta
Que me aprieta la garganta
Que me sube, que me baja
Que me prende, que me apaga
Todo aquello que buscaba
Lo que yo necesitaba
Tú me encantas

Tú tienes eso que me encanta
Que me aprieta la garganta
Que me sube, que me baja
Que me prende, que me apaga
Todo aquello que buscaba
...


 "                                                                                                       ,20.0               ,1945  ,"ME ENCANTAS."
